,Index,Company Name,Symbol,Sector,Industry
1464,2465,Mackenzie CdnAggrBnd,QBB,,
1465,2467,Mackenzie Cdn EqtyUn,QCN,,
1466,2469,Mackenzie CdnLrgCpEq,QCE,,
1467,2471,MackenzieCA FixdIncm,MCSB,,
1468,2473,Mackenzie CdnSTBndE,QSB,,
1469,2475,Mackenzie CAFxIncm E,MKB,,
1470,2477,Mackenzie GlbFxIncmE,MGB,,
1471,2479,Mackenzie FltgRate E,MFT,,
1472,2481,Mackenzie IntlEq Idx,QDX,,
1473,2483,Mackenzie IntlEq C-H,QDXH,,
1474,2485,Mackenzie IvyGlbEq E,MIVG,,
1475,2487,MacKenzie Master Un,MKZ.UN,Financial Services,Asset Management
1476,2489,Mackenzie AlWrl NA E,MXU,,
1477,2491,MackenzieMaxDvr AW E,MWD,,
1478,2493,Mackenzie MaxDvrCA E,MKC,,
1479,2495,MackenzieMaxDvrEur E,MEU,,
1480,2497,Mackenzie EmrgMkts E,MEE,,
1481,2499,Mackenzie MaxDvrUS E,MUS,,
1482,2501,Mackenzie PortflComp,MPCF,,
1483,2503,Mackenzie Uncnstrn E,MUB,,
1484,2505,Mackenzie USBndCAD-H,QHY,,
1485,2507,Mackenzie USCrpBnd E,QUIG,,
1486,2509,Mackenzie USLrgCapEq,QUU,,
1487,2511,MackenzieUS LrgCapCH,QAH,,
1488,2513,Madison Pacific Cl B,MPC,Real Estate,Real Estate Services
1489,2514,Madison Pacific NV C,MPC.C,Real Estate,Real Estate Services
1490,2516,MAG Silver Corp. J,MAG,Basic Materials,Metals & Mining
1491,2518,Magellan Aerospace,MAL,Industrials,Aerospace & Defense
1492,2520,Magna Int'l Inc.,MG,Consumer Cyclical,Autos
1493,2522,Mainstreet Equity J,MEQ,Real Estate,Real Estate Services
1494,2524,Major Drilling Group,MDI,Basic Materials,Metals & Mining
1495,2526,Mandalay Res Corp J,MND,Basic Materials,Metals & Mining
1496,2528,Manulife Financial,MFC,Financial Services,Insurance - Life
1497,2529,Manulife Fin Sr 2 Pr,MFC.PR.B,Financial Services,Insurance - Life
1498,2530,Manulife Fin A Pr 3,MFC.PR.C,Financial Services,Insurance - Life
1499,2531,Manulife Fin Sr 3 Pr,MFC.PR.F,Financial Services,Insurance - Life
